¼±¼ö¸í,Æ÷Áö¼Ç,scoring,assist,shooting,shootontarget,insidepashoot,outsidepashoot,freekick,cornerkick,throwin,dribble,keypass,forwardpass,backpass,lateralpass,attackareapass,defensiveareapass,centerareapass,longpass,middistancepass,shortpass,cross,offpressure,groundduel,airduel,tackle,clearing,intercept,block,acquisition,block,miss,foul,fouled
À¯ÀÎ¼ö,1,0.00144997583,0,0.0115998067,0.0043499275,0.00773320445,0.00386660222,0.0101498308,0,0.0768487192,0.00483325278,0.00773320445,0.204446593,0.188496858,0.14838086,0.151764137,0.0923151281,0.297245046,0.026099565,0.168197197,0.34702755,0.01739971,0.00386660222,0.0217496375,0.0323827936,0.0222329628,0.0386660222,0.0265828903,0.020782987,0.0517158047,0.0299661672,0.00724987917,0.00966650556,0.0149830836
¹Ú¼öÀÏ,0,0.00194250194,0.000388500389,0.0132090132,0.00427350427,0.00388500389,0.00932400932,0.0143745144,0.0178710179,0.074980575,0.0128205128,0.00815850816,0.144522145,0.109168609,0.148795649,0.128205128,0.0850815851,0.189199689,0.0388500389,0.123543124,0.24009324,0.0598290598,0.00466200466,0.0229215229,0.0326340326,0.027972028,0.0252525253,0.0283605284,0.0167055167,0.0613830614,0.0271950272,0.0104895105,0.00815850816,0.0104895105
ÆÈ¶ó½Ã¿À½º,1,0.00256904303,0.00192678227,0.0224791265,0.0115606936,0.0160565189,0.00642260758,0,0.00128452152,0,0.0301862556,0.0109184329,0.0558766859,0.0578034682,0.116891458,0.104688504,0.00963391137,0.116249197,0.023763648,0.0719332049,0.134874759,0.0558766859,0.0166987797,0.0777135517,0.0500963391,0.0173410405,0.00192678227,0.00642260758,0.00321130379,0.0642260758,0.00642260758,0.0128452152,0.0192678227,0.0134874759
±èÇÑ±æ,0,0.00104821803,0.00104821803,0.0110062893,0.00262054507,0.00733752621,0.0036687631,0.00314465409,0,0.03721174,0.0136268344,0.00890985325,0.114779874,0.146750524,0.151991614,0.150419287,0.0592243187,0.203878407,0.0199161426,0.120020964,0.273584906,0.0398322851,0.00314465409,0.0298742138,0.0267295597,0.0193920335,0.0193920335,0.0157232704,0.0125786164,0.0424528302,0.0193920335,0.00628930818,0.00995807128,0.0104821803
Á¤µ¿È£,0,0.00145985401,0,0.00729927007,0.00291970803,0.00291970803,0.00437956204,0.00364963504,0.00656934307,0.0897810219,0.00802919708,0.00948905109,0.190510949,0.0861313869,0.145255474,0.0941605839,0.0868613139,0.240875912,0.0627737226,0.142335766,0.216788321,0.0474452555,0.00145985401,0.0233576642,0.0233576642,0.0299270073,0.0437956204,0.0270072993,0.0189781022,0.0525547445,0.0131386861,0.00437956204,0.00656934307,0.0131386861
ÇÑ½Â±Ô,1,0.0016722408,0,0.0150501672,0.00836120401,0.0100334448,0.00501672241,0.00334448161,0.00836120401,0.00501672241,0.00334448161,0.0100334448,0.128762542,0.180602007,0.239130435,0.204013378,0.0618729097,0.282608696,0.0234113712,0.147157191,0.377926421,0.0217391304,0.0016722408,0.0234113712,0.0117056856,0.0200668896,0.0016722408,0.0150501672,0.00668896321,0.0484949833,0.0133779264,0.00668896321,0.00836120401,0.0133779264
ÀÏ·ùÃ¾ÄÚ,2,0.00426338228,0.000473709143,0.0255802937,0.0104216011,0.019895784,0.00568450971,0,0.000473709143,0.000473709143,0.00378967314,0.0104216011,0.0833728091,0.0814779725,0.111795358,0.133585978,0.00994789199,0.133112269,0.0170535291,0.076267172,0.183325438,0.00900047371,0.00284225486,0.0468972051,0.100426338,0.0151586926,0.0104216011,0.00568450971,0.00568450971,0.0445286594,0.0104216011,0.0113690194,0.0208432023,0.01657982
Á¶±Ô¼º,2,0.00652090526,0.00191791331,0.0368239356,0.0176448025,0.023782125,0.0130418105,0.00191791331,0,0.00345224396,0.00920598389,0.0126582278,0.0537015727,0.0997314921,0.113540468,0.123130035,0.00920598389,0.134637514,0.0130418105,0.0648254699,0.189106252,0.0187955504,0.00345224396,0.0452627541,0.0897583429,0.00652090526,0.0149597238,0.00920598389,0.000383582662,0.0425776755,0.00537015727,0.0130418105,0.0172612198,0.0214806291
±èÁÖ¿±,0,0,0.00315457413,0.00315457413,0,0.00315457413,0,0.00630914826,0,0.094637224,0.0441640379,0.00315457413,0.242902208,0.113564669,0.0820189274,0.0977917981,0.138801262,0.201892744,0.0347003155,0.148264984,0.255520505,0.0347003155,0,0.0410094637,0.0378548896,0.0599369085,0.0378548896,0.0441640379,0.0252365931,0.0504731861,0.0189274448,0,0.0126182965,0
±è½ÅÁø,0,0.00325027086,0,0.0205850488,0.00650054171,0.0184182015,0.00216684724,0.00541711809,0,0.00758396533,0.00975081257,0.00866738895,0.133261105,0.100758397,0.198266522,0.0985915493,0.0985915493,0.235102925,0.0422535211,0.171180932,0.218851571,0.00975081257,0.00216684724,0.0357529794,0.0585048754,0.0151679307,0.0184182015,0.0195016251,0.0130010834,0.0530877573,0.0335861322,0.0119176598,0.0130010834,0.00758396533
